Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,1.11,0,25.9,46.7,23.54,13.4,-7.57,29.7,0,5.49E-06
1,2.07,0,25.9,46.7,23.54,13.6,-7.57,29.7,0.001,1.56E-05
2,3.51,0,25.9,46.7,23.54,13.9,-7.57,29.7,0.001,3.30E-05
3.1,5.2,0,25.9,46.7,23.54,14.29,-7.57,29.7,0.001,5.84E-05
4.1,7.16,0,25.9,46.7,23.54,14.77,-7.57,29.7,0.001,9.34E-05
5.1,9.4,0,25.9,46.7,23.54,15.33,-7.57,29.7,0.001,1.39E-04
6.1,11.46,0,25.9,46.7,23.54,15.9,-7.57,29.7,0.001,1.95E-04
7.1,13.47,0,25.9,46.7,23.54,16.48,-7.57,29.7,0.001,2.61E-04
8.1,15.18,0,25.9,46.7,23.54,17.01,-7.57,29.7,0.001,3.35E-04
9.2,16.77,0,25.9,46.7,23.54,17.5,-7.57,29.7,0.001,4.18E-04
10.2,18.28,0,25.9,46.7,23.54,17.97,-7.57,29.7,0.002,5.09E-04
11.2,19.47,0,25.9,46.7,23.54,18.37,-7.57,29.7,0.002,6.04E-04
12.2,20.58,0,25.9,46.7,23.54,18.73,-7.57,29.7,0.002,7.05E-04
13.3,21.53,0,25.9,46.7,23.54,19.04,-7.57,29.7,0.002,8.10E-04
14.3,22.27,0,25.9,46.7,23.54,19.31,-7.57,29.8,0.003,9.19E-04
15.3,22.95,0,25.9,46.7,23.54,19.54,-7.57,29.8,0.003,1.03E-03
16.3,23.46,0,25.9,46.7,23.54,19.73,-7.57,29.8,0.003,1.15E-03
17.3,23.9,0,25.9,46.7,23.54,19.88,-7.57,29.8,0.003,1.26E-03
18.3,24.26,0,25.8,46.7,23.54,20.01,-7.57,29.8,0.004,1.38E-03
19.4,24.52,0,25.8,46.7,23.54,20.11,-7.57,29.8,0.004,1.50E-03
20.4,24.85,0,25.8,46.7,23.54,20.21,-7.57,29.8,0.004,1.62E-03
21.4,25.02,0,25.8,46.7,23.54,20.29,-7.57,29.8,0.004,1.75E-03
22.4,25.16,0,25.8,46.7,23.54,20.34,-7.57,29.8,0.005,1.87E-03
23.4,25.28,0,25.8,46.7,23.54,20.39,-7.57,29.8,0.005,1.99E-03
24.5,25.39,0,25.8,46.7,23.54,20.43,-7.57,29.8,0.005,2.12E-03
25.5,25.47,0,25.8,46.7,23.54,20.46,-7.57,29.8,0.005,2.24E-03
26.5,25.49,0,25.8,46.7,23.54,20.48,-7.57,29.8,0.006,2.37E-03
27.5,25.55,0,25.8,46.7,23.54,20.49,-7.57,29.8,0.006,2.49E-03
28.5,25.59,0,25.8,46.7,23.54,20.51,-7.57,29.8,0.006,2.62E-03
29.6,25.57,0,25.8,46.7,23.54,20.51,-7.57,29.8,0.007,2.75E-03
30.6,25.57,0,25.8,46.7,23.54,20.51,-7.57,29.8,0.007,2.87E-03
31.6,25.56,0,25.8,46.7,23.54,20.51,-7.57,29.8,0.007,3.00E-03
32.6,25.56,0,25.8,46.7,23.54,20.51,-7.57,29.8,0.007,3.12E-03
33.6,25.53,0,25.8,46.7,23.54,20.51,-7.57,29.8,0.008,3.25E-03
34.6,25.51,0,25.8,46.8,23.54,20.5,-7.57,29.8,0.008,3.37E-03
35.7,25.51,0,25.8,46.8,23.54,20.5,-7.57,29.8,0.008,3.49E-03
36.7,25.51,0,25.8,46.8,23.54,20.49,-7.57,29.8,0.009,3.62E-03
37.7,25.51,0,25.8,46.8,23.54,20.49,-7.57,29.8,0.009,3.74E-03
38.7,25.48,0,25.8,46.8,23.54,20.48,-7.57,29.9,0.009,3.87E-03
39.7,25.39,0,25.8,46.8,23.54,20.47,-7.57,29.9,0.009,3.99E-03
40.7,25.31,0,25.8,46.8,23.54,20.45,-7.57,29.9,0.01,4.12E-03
41.8,25.24,0,25.8,46.8,23.54,20.44,-7.57,29.9,0.01,4.24E-03
42.8,25.16,0,25.8,46.8,23.54,20.42,-7.57,29.9,0.01,4.37E-03
43.8,25.09,0,25.8,46.8,23.54,20.4,-7.57,29.9,0.01,4.49E-03
44.8,24.99,0,25.7,46.8,23.54,20.37,-7.57,29.9,0.011,4.61E-03
45.9,24.93,0,25.7,46.8,23.54,20.35,-7.57,29.9,0.011,4.73E-03
46.9,24.84,0,25.7,46.9,23.54,20.33,-7.57,29.9,0.011,4.86E-03
47.9,24.8,0,25.7,46.9,23.54,20.31,-7.57,29.9,0.012,4.98E-03
48.9,24.73,0,25.7,46.9,23.55,20.29,-7.57,29.9,0.012,5.10E-03
49.9,24.67,0,25.7,46.9,23.55,20.27,-7.57,29.9,0.012,5.22E-03
50.9,24.64,0,25.7,46.9,23.55,20.25,-7.57,29.9,0.012,5.34E-03
52,24.57,0,25.7,46.9,23.55,20.24,-7.57,29.9,0.013,5.46E-03
53,24.52,0,25.7,46.9,23.55,20.22,-7.57,29.9,0.013,5.58E-03
54,24.43,0,25.7,46.9,23.55,20.2,-7.57,29.9,0.013,5.70E-03
55,24.44,0,25.7,46.9,23.55,20.19,-7.57,29.9,0.013,5.82E-03
56.1,24.38,0,25.7,46.9,23.55,20.17,-7.57,29.9,0.014,5.94E-03
57.1,24.33,0,25.7,46.9,23.55,20.16,-7.57,30,0.014,6.06E-03
58.1,24.3,0,25.7,46.9,23.56,20.14,-7.57,30,0.014,6.18E-03
59.1,24.28,0,25.7,46.9,23.56,20.13,-7.57,30,0.014,6.30E-03
60.1,24.24,0,25.7,46.9,23.56,20.12,-7.57,30,0.015,6.42E-03
61.2,24.13,0,25.7,46.9,23.56,20.1,-7.57,30,0.015,6.54E-03
62.2,24.1,0,25.7,46.9,23.56,20.09,-7.57,30,0.015,6.66E-03
63.2,24.06,0,25.7,46.9,23.56,20.07,-7.57,30,0.016,6.77E-03
64.2,24.01,0,25.7,46.9,23.56,20.06,-7.57,30,0.016,6.89E-03
65.3,24,0,25.7,46.9,23.56,20.05,-7.57,30,0.016,7.01E-03
66.3,24.01,0,25.7,46.9,23.57,20.04,-7.57,30,0.016,7.13E-03
67.3,24,0,25.7,46.9,23.57,20.04,-7.57,30,0.017,7.25E-03
68.3,23.97,0,25.7,46.9,23.57,20.03,-7.57,30,0.017,7.36E-03
69.3,23.94,0,25.7,46.9,23.57,20.03,-7.57,30,0.017,7.48E-03
70.4,23.93,0,25.7,46.9,23.57,20.02,-7.57,30,0.017,7.60E-03
71.4,23.95,0,25.7,46.9,23.57,20.02,-7.57,30,0.018,7.72E-03
72.4,23.95,0,25.7,46.9,23.57,20.02,-7.57,30,0.018,7.84E-03
73.4,24.02,0,25.7,46.9,23.57,20.03,-7.57,30,0.018,7.95E-03
