#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/05/2021 11:00:00,37.52,11.39,2.58,,
2,10/05/2021 11:30:00,37.59,10.59,1.61,,
3,10/05/2021 12:00:00,37.59,10.30,1.21,,
4,10/05/2021 12:30:00,37.63,10.22,1.15,,
5,10/05/2021 13:00:00,37.65,10.07,0.96,,
6,10/05/2021 13:30:00,37.71,10.04,0.95,,
7,10/05/2021 14:00:00,37.50,23.05,12.90,,
8,10/05/2021 14:30:00,36.58,25.36,13.59,,
9,10/05/2021 15:00:00,36.97,24.87,13.61,,
10,10/05/2021 15:30:00,37.18,24.83,13.77,,
11,10/05/2021 16:00:00,37.66,22.17,12.44,,
12,10/05/2021 16:30:00,36.34,27.33,14.55,,
13,10/05/2021 17:00:00,37.80,20.88,11.64,,
14,10/05/2021 17:30:00,25.59,44.94,12.77,,
15,10/05/2021 18:00:00,25.14,45.24,12.47,,
16,10/05/2021 18:30:00,24.93,45.72,12.44,,
17,10/05/2021 18:59:59,,,,Logged,Logged
