date,treatment,serial,trial
5/10/2021,hot,20793609,1
5/10/2021,cold,20785311,1
5/10/2021,control,20785317,1
5/10/2021,hot,20932042,1
5/10/2021,cold,20785309,1
5/10/2021,control,20932041,1
11/10/2021,cold,20793609,2
11/10/2021,control,20785311,2
11/10/2021,hot,20785317,2
11/10/2021,cold,20932042,2
11/10/2021,control,20785309,2
11/10/2021,hot,20932041,2
12/10/2021,cold,20793609,3
12/10/2021,control,20785311,3
12/10/2021,hot,20785317,3
12/10/2021,cold,20932042,3
12/10/2021,control,20785309,3
12/10/2021,hot,20932041,3
18/10/2021,control,20793609,4
18/10/2021,hot,20785311,4
18/10/2021,cold,20785317,4
18/10/2021,control,20932042,4
18/10/2021,hot,20785309,4
18/10/2021,cold,20932041,4
19/10/2021,control,20793609,5
19/10/2021,hot,20785311,5
19/10/2021,cold,20785317,5
19/10/2021,control,20932042,5
19/10/2021,hot,20785309,5
19/10/2021,cold,20932041,5
