Place,Date,Time,Value,Unit,Value,Unit,Value,Unit
1,9/28/2021,11:29:10,11.7,T1 KTemp C,10.8,T2 KTemp C,11.7,T3 KTemp C
2,9/28/2021,11:30:10,12.2,T1 KTemp C,11.8,T2 KTemp C,11.6,T3 KTemp C
3,9/28/2021,11:31:10,13.9,T1 KTemp C,13,T2 KTemp C,12.2,T3 KTemp C
4,9/28/2021,11:32:10,13.4,T1 KTemp C,12.8,T2 KTemp C,13.1,T3 KTemp C
5,9/28/2021,11:33:10,13.5,T1 KTemp C,14.1,T2 KTemp C,13.3,T3 KTemp C
6,9/28/2021,11:34:10,14.7,T1 KTemp C,13.7,T2 KTemp C,13.9,T3 KTemp C
7,9/28/2021,11:35:10,14.1,T1 KTemp C,14,T2 KTemp C,14.3,T3 KTemp C
8,9/28/2021,11:36:10,14.5,T1 KTemp C,14.4,T2 KTemp C,14.3,T3 KTemp C
9,9/28/2021,11:37:10,14.6,T1 KTemp C,14.5,T2 KTemp C,14.5,T3 KTemp C
10,9/28/2021,11:38:10,14.8,T1 KTemp C,14.7,T2 KTemp C,14.8,T3 KTemp C
11,9/28/2021,11:39:10,14.9,T1 KTemp C,14.7,T2 KTemp C,14.8,T3 KTemp C
12,9/28/2021,11:40:10,14.9,T1 KTemp C,14.8,T2 KTemp C,14.9,T3 KTemp C
13,9/28/2021,11:41:10,14.9,T1 KTemp C,14.9,T2 KTemp C,15,T3 KTemp C
14,9/28/2021,11:42:10,15,T1 KTemp C,15,T2 KTemp C,15,T3 KTemp C
15,9/28/2021,11:43:10,15.1,T1 KTemp C,15.1,T2 KTemp C,15.1,T3 KTemp C
16,9/28/2021,11:44:10,15.1,T1 KTemp C,15.1,T2 KTemp C,15.1,T3 KTemp C
17,9/28/2021,11:45:10,15.1,T1 KTemp C,15.2,T2 KTemp C,15.1,T3 KTemp C
18,9/28/2021,11:46:10,15.2,T1 KTemp C,15.2,T2 KTemp C,15.2,T3 KTemp C
19,9/28/2021,11:47:10,15.2,T1 KTemp C,15.3,T2 KTemp C,15.2,T3 KTemp C
20,9/28/2021,11:48:10,15.3,T1 KTemp C,15.2,T2 KTemp C,15.2,T3 KTemp C
21,9/28/2021,11:49:10,15.3,T1 KTemp C,15.3,T2 KTemp C,15.2,T3 KTemp C
22,9/28/2021,11:50:10,15.3,T1 KTemp C,15.4,T2 KTemp C,15.3,T3 KTemp C
23,9/28/2021,11:51:10,15.4,T1 KTemp C,15.4,T2 KTemp C,15.4,T3 KTemp C
24,9/28/2021,11:52:10,15.4,T1 KTemp C,15.4,T2 KTemp C,15.4,T3 KTemp C
25,9/28/2021,11:53:10,15.4,T1 KTemp C,15.4,T2 KTemp C,15.4,T3 KTemp C
26,9/28/2021,11:54:10,15.4,T1 KTemp C,15.4,T2 KTemp C,15.4,T3 KTemp C
27,9/28/2021,11:55:10,15.4,T1 KTemp C,15.5,T2 KTemp C,15.4,T3 KTemp C
28,9/28/2021,11:56:10,15.5,T1 KTemp C,15.7,T2 KTemp C,15.4,T3 KTemp C
29,9/28/2021,11:57:10,15.4,T1 KTemp C,15.6,T2 KTemp C,15.5,T3 KTemp C
30,9/28/2021,11:58:10,15.5,T1 KTemp C,15.6,T2 KTemp C,15.5,T3 KTemp C
31,9/28/2021,11:59:10,15.5,T1 KTemp C,15.6,T2 KTemp C,15.5,T3 KTemp C
32,9/28/2021,12:00:10,15.6,T1 KTemp C,15.6,T2 KTemp C,15.5,T3 KTemp C
33,9/28/2021,12:01:10,15.7,T1 KTemp C,15.7,T2 KTemp C,15.7,T3 KTemp C
34,9/28/2021,12:02:10,15.7,T1 KTemp C,15.8,T2 KTemp C,15.7,T3 KTemp C
35,9/28/2021,12:03:10,15.9,T1 KTemp C,15.8,T2 KTemp C,15.7,T3 KTemp C
