Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,1/8/2022,10:10:57,3.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
2,1/8/2022,10:11:57,3.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
3,1/8/2022,10:12:57,6.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
4,1/8/2022,10:13:57,7.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
5,1/8/2022,10:14:57,8.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
6,1/8/2022,10:15:57,8.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
7,1/8/2022,10:16:57,9.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
8,1/8/2022,10:17:57,9.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
9,1/8/2022,10:18:57,9.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
10,1/8/2022,10:19:57,9.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
11,1/8/2022,10:20:57,10.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
12,1/8/2022,10:21:57,10,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
13,1/8/2022,10:22:57,10,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
14,1/8/2022,10:23:57,10,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
15,1/8/2022,10:24:57,10.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
16,1/8/2022,10:25:57,10.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
17,1/8/2022,10:26:57,11.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
18,1/8/2022,10:27:57,11.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
19,1/8/2022,10:28:57,11.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
20,1/8/2022,10:29:57,11.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
21,1/8/2022,10:30:57,12.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
22,1/8/2022,10:31:57,12.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
23,1/8/2022,10:32:57,13,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
24,1/8/2022,10:33:57,13.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
25,1/8/2022,10:34:57,13.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
26,1/8/2022,10:35:57,13.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
27,1/8/2022,10:36:57,14.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
28,1/8/2022,10:37:57,14.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
29,1/8/2022,10:38:57,15.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
30,1/8/2022,10:39:57,15.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
31,1/8/2022,10:40:57,15.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
32,1/8/2022,10:41:57,15.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
33,1/8/2022,10:42:57,15.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
34,1/8/2022,10:43:57,16.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
35,1/8/2022,10:44:57,16.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
