time,reference_temp
10:13,1.5
10:14,2
10:15,3
10:16,4
10:17,5
10:18,7
10:19,7.5
10:20,8
10:21,8
10:22,8.5
10:23,8.5
10:24,8.5
10:25,8.5
10:26,9
10:27,9
10:28,9
10:29,9.5
10:30,10
10:31,10
10:32,10.5
10:33,10.5
10:34,11
10:35,11.5
10:36,12
10:37,12
10:38,12.5
10:39,12.5
10:40,13
10:41,13.5
10:42,14
10:43,14
10:44,14
10:45,14.5
10:46,14.5
10:47,15
10:48,15.5
10:49,16
10:50,16
10:51,16.5
10:52,17
10:53,17
10:54,17
10:55,17.5
10:56,18
10:57,18
10:58,18
10:59,18.5
11:00,19
11:01,19.5
11:02,20
11:03,20.5
11:04,21
11:05,21
11:06,21.5
11:07,22
11:08,22.5
11:09,23
11:10,23.5
11:11,24
11:12,24
11:13,24.5
11:14,25
11:15,25
11:16,25.5
11:17,26
11:18,26.5
11:19,27
11:20,27
11:21,27.5
11:22,28
11:23,28
11:24,28.5
11:25,29
11:26,29.5
11:27,30
11:28,30
11:29,30.5
11:30,31
11:31,31
11:32,31.5
11:33,31.5
11:34,32
11:35,32
11:36,32
11:37,32.5
11:38,33
11:39,33
11:40,33
11:41,33.5
11:42,34
11:43,34
11:44,34
11:45,34.5
11:46,35
11:47,35
11:48,35
11:49,35.5
11:50,36
11:51,36
11:52,36.5
11:53,37
11:54,37.5
11:55,38
11:56,38
11:57,38.5
11:58,39
11:59,
