Place,Date,Time,Value_Cloacal,Unit,Thermocouple_Cloacal,Value_Dorsal,Unit,Thermocouple_Dorsal,Value,Unit,Value,Unit,Lizard
1,10/18/2021,13:26:32,24.4,T1 KTemp C,E,24.2,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
2,10/18/2021,13:26:33,24.4,T1 KTemp C,E,24.2,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
3,10/18/2021,13:26:34,24.4,T1 KTemp C,E,24.2,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
4,10/18/2021,13:26:35,24.3,T1 KTemp C,E,24.1,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
5,10/18/2021,13:26:36,24.3,T1 KTemp C,E,24.1,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
6,10/18/2021,13:26:37,24.3,T1 KTemp C,E,24.1,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
7,10/18/2021,13:26:38,24.3,T1 KTemp C,E,24.1,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
8,10/18/2021,13:26:39,24.3,T1 KTemp C,E,24.1,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
9,10/18/2021,13:26:40,24.3,T1 KTemp C,E,24.2,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
10,10/18/2021,13:26:41,24.3,T1 KTemp C,E,24.2,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
11,10/18/2021,13:26:42,24.3,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
12,10/18/2021,13:26:43,24.3,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
13,10/18/2021,13:26:44,24.3,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
14,10/18/2021,13:26:45,24.3,T1 KTemp C,E,24.7,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
15,10/18/2021,13:26:46,24.3,T1 KTemp C,E,24.7,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
16,10/18/2021,13:26:47,24.3,T1 KTemp C,E,24.9,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
17,10/18/2021,13:26:48,24.3,T1 KTemp C,E,24.9,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
18,10/18/2021,13:26:49,24.3,T1 KTemp C,E,25,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
19,10/18/2021,13:26:50,24.3,T1 KTemp C,E,25,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
20,10/18/2021,13:26:51,24.2,T1 KTemp C,E,25,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
21,10/18/2021,13:26:52,24.2,T1 KTemp C,E,25,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
22,10/18/2021,13:26:53,24.2,T1 KTemp C,E,24.9,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
23,10/18/2021,13:26:54,24.2,T1 KTemp C,E,24.9,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
24,10/18/2021,13:26:55,24.2,T1 KTemp C,E,24.8,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
25,10/18/2021,13:26:56,24.2,T1 KTemp C,E,24.7,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
26,10/18/2021,13:26:57,24.3,T1 KTemp C,E,24.7,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
27,10/18/2021,13:26:58,24.3,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
28,10/18/2021,13:26:59,24.3,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
29,10/18/2021,13:27:00,24.3,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
30,10/18/2021,13:27:01,24.3,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
31,10/18/2021,13:27:02,24.3,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
32,10/18/2021,13:27:03,24.3,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
33,10/18/2021,13:27:04,24.3,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
34,10/18/2021,13:27:05,24.3,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
35,10/18/2021,13:27:06,24.3,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
36,10/18/2021,13:27:07,24.3,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
37,10/18/2021,13:27:08,24.3,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
38,10/18/2021,13:27:09,24.3,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
39,10/18/2021,13:27:10,24.3,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
40,10/18/2021,13:27:11,24.3,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
41,10/18/2021,13:27:12,24.3,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
42,10/18/2021,13:27:13,24.3,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
