Date;Time;Temperature (°F);Wind Speed (ave) (mph);Relative Humidity (% RH);Pyranometer 0-2000 W/m² (W/m²);Precipitation II (inch)
10/19/21;12:00 AM;44.7;0.1;95.2;0.0;0.000
10/19/21;12:15 AM;44.8;0.1;94.5;0.0;0.000
10/19/21;12:30 AM;48.3;1.4;87.5;2.0;0.000
10/19/21;12:45 AM;50.8;0.1;74.5;0.0;0.000
10/19/21;1:00 AM;52.0;0.1;69.8;0.0;0.000
10/19/21;1:15 AM;52.1;0.1;68.3;0.0;0.000
10/19/21;1:30 AM;52.7;1.7;66.4;0.0;0.000
10/19/21;1:45 AM;52.3;2.4;66.9;0.0;0.000
10/19/21;2:00 AM;55.1;6.0;60.8;0.0;0.000
10/19/21;2:15 AM;54.9;5.5;60.7;0.0;0.000
10/19/21;2:30 AM;54.9;4.6;60.1;0.0;0.000
10/19/21;2:45 AM;54.3;4.1;61.7;0.0;0.000
10/19/21;3:00 AM;54.5;5.3;61.3;0.0;0.000
10/19/21;3:15 AM;54.8;6.1;60.8;0.0;0.000
10/19/21;3:30 AM;54.7;6.8;61.1;0.0;0.000
10/19/21;3:45 AM;54.8;6.6;60.1;0.0;0.000
10/19/21;4:00 AM;55.1;6.4;58.6;0.0;0.000
10/19/21;4:15 AM;55.0;5.3;58.5;0.0;0.000
10/19/21;4:30 AM;54.5;3.0;58.7;0.0;0.000
10/19/21;4:45 AM;54.4;3.7;58.7;0.0;0.000
10/19/21;5:00 AM;54.6;3.2;57.9;0.0;0.000
10/19/21;5:15 AM;55.0;3.4;56.8;0.0;0.000
10/19/21;5:30 AM;55.1;4.3;56.4;0.0;0.000
10/19/21;5:45 AM;55.7;4.3;55.0;0.0;0.000
10/19/21;6:00 AM;52.8;1.6;61.1;0.0;0.000
10/19/21;6:15 AM;50.2;0.1;69.1;0.0;0.000
10/19/21;6:30 AM;48.9;1.0;72.3;0.0;0.000
10/19/21;6:45 AM;50.5;2.7;68.7;0.0;0.000
10/19/21;7:00 AM;52.9;3.7;61.3;0.0;0.000
10/19/21;7:15 AM;53.8;3.3;59.2;0.1;0.000
10/19/21;7:30 AM;53.9;5.0;59.2;5.9;0.000
10/19/21;7:45 AM;54.5;4.7;57.8;13.1;0.000
10/19/21;8:00 AM;54.4;4.6;57.9;19.9;0.000
10/19/21;8:15 AM;54.6;4.3;57.6;31.2;0.000
10/19/21;8:30 AM;52.8;2.6;65.0;49.7;0.000
10/19/21;8:45 AM;52.8;3.2;65.7;187.6;0.000
10/19/21;9:00 AM;54.4;2.3;65.8;327.4;0.000
10/19/21;9:15 AM;55.8;2.6;62.3;381.5;0.000
10/19/21;9:30 AM;57.3;2.0;59.2;436.1;0.000
10/19/21;9:45 AM;58.7;2.6;56.0;488.3;0.000
10/19/21;10:00 AM;61.0;2.4;50.1;535.7;0.000
10/19/21;10:15 AM;62.2;1.9;47.0;579.1;0.000
10/19/21;10:30 AM;62.9;2.7;45.2;618.2;0.000
10/19/21;10:45 AM;64.2;3.3;41.7;651.3;0.000
10/19/21;11:00 AM;65.6;2.8;40.9;677.9;0.000
