Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,4.22,0,26.2,47.4,23.66,14.38,-7.57,30,0.556,2.06E-05
1,4.09,0,26.2,47.4,23.66,14.34,-7.57,30,0.557,4.06E-05
2,4.28,0,26.2,47.4,23.66,14.34,-7.57,30,0.557,6.15E-05
3,4.88,0,26.2,47.4,23.66,14.41,-7.57,30,0.557,8.53E-05
4.1,6.14,0,26.2,47.4,23.66,14.59,-7.57,30,0.557,1.16E-04
5.1,7.77,0,26.2,47.4,23.66,14.87,-7.57,30,0.557,1.54E-04
6.1,9.9,0,26.2,47.4,23.66,15.27,-7.57,30,0.557,2.02E-04
7.1,12.39,0,26.2,47.4,23.65,15.76,-7.57,30,0.557,2.64E-04
8.2,14.9,0,26.2,47.4,23.65,16.31,-7.57,30,0.557,3.36E-04
9.2,17.36,0,26.2,47.4,23.65,16.87,-7.57,30,0.557,4.21E-04
10.2,19.48,0,26.2,47.4,23.65,17.41,-7.57,30,0.558,5.18E-04
11.2,21.37,0,26.2,47.4,23.64,17.9,-7.57,30,0.558,6.22E-04
12.2,23.07,0,26.2,47.4,23.64,18.35,-7.57,30,0.558,7.35E-04
13.3,24.39,0,26.2,47.4,23.64,18.73,-7.57,30,0.558,8.54E-04
14.3,25.65,0,26.2,47.4,23.64,19.07,-7.57,30,0.559,9.79E-04
15.3,26.59,0,26.2,47.4,23.64,19.36,-7.57,30,0.559,1.11E-03
16.3,27.39,0,26.2,47.4,23.63,19.59,-7.57,30,0.559,1.24E-03
17.3,28.06,0,26.2,47.4,23.63,19.79,-7.57,30,0.559,1.38E-03
18.3,28.57,0,26.2,47.4,23.63,19.96,-7.57,30,0.56,1.52E-03
19.3,29.02,0,26.2,47.4,23.62,20.09,-7.57,30,0.56,1.66E-03
20.4,29.33,0,26.2,47.4,23.62,20.2,-7.57,30,0.56,1.80E-03
21.4,29.61,0,26.2,47.4,23.62,20.29,-7.57,30,0.561,1.95E-03
22.4,29.75,0,26.2,47.5,23.62,20.35,-7.57,30,0.561,2.09E-03
23.4,29.91,0,26.2,47.5,23.61,20.4,-7.57,30,0.561,2.24E-03
24.4,29.96,0,26.2,47.5,23.61,20.43,-7.57,30,0.562,2.39E-03
25.4,30.03,0,26.2,47.5,23.61,20.45,-7.57,30,0.562,2.53E-03
26.5,30.07,0,26.2,47.5,23.61,20.47,-7.57,30,0.562,2.68E-03
27.5,30.07,0,26.2,47.5,23.61,20.48,-7.57,29.9,0.563,2.83E-03
28.5,30.14,0,26.2,47.6,23.6,20.5,-7.57,29.9,0.563,2.98E-03
29.5,30.11,0,26.2,47.6,23.6,20.5,-7.57,29.9,0.563,3.12E-03
30.5,30.15,0,26.2,47.6,23.6,20.51,-7.57,29.9,0.564,3.27E-03
31.5,30.1,0,26.2,47.6,23.6,20.51,-7.57,29.9,0.564,3.42E-03
32.6,29.98,0,26.2,47.6,23.6,20.5,-7.57,29.9,0.564,3.57E-03
33.6,29.99,0,26.2,47.7,23.6,20.49,-7.57,29.9,0.565,3.71E-03
34.6,29.86,0,26.2,47.7,23.59,20.48,-7.57,29.9,0.565,3.86E-03
35.6,29.82,0,26.2,47.7,23.59,20.47,-7.57,29.9,0.565,4.00E-03
36.6,29.65,0,26.2,47.7,23.59,20.44,-7.57,29.9,0.566,4.15E-03
37.7,29.57,0,26.2,47.7,23.59,20.42,-7.57,29.9,0.566,4.30E-03
38.7,29.55,0,26.2,47.7,23.58,20.41,-7.57,29.9,0.566,4.44E-03
39.7,29.4,0,26.2,47.7,23.58,20.39,-7.57,29.9,0.567,4.59E-03
40.7,29.26,0,26.2,47.7,23.57,20.37,-7.57,29.9,0.567,4.73E-03
