Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.71,0,26,48.3,23.89,13.32,-7.57,30.2,1.51,3.46E-06
1,0.69,0,26,48.3,23.89,13.32,-7.57,30.2,1.51,6.90E-06
2.1,0.84,0,26,48.3,23.89,13.35,-7.57,30.2,1.51,1.10E-05
3.1,1.44,0,26,48.3,23.89,13.41,-7.57,30.2,1.51,1.81E-05
4.1,2.44,0,26,48.3,23.89,13.57,-7.57,30.2,1.51,3.00E-05
5.1,3.83,0,26,48.3,23.89,13.81,-7.57,30.2,1.51,4.87E-05
6.1,5.85,0,26,48.3,23.89,14.16,-7.57,30.2,1.51,7.77E-05
7.2,8.2,0,26,48.3,23.88,14.61,-7.57,30.2,1.51,1.18E-04
8.2,10.75,0,26,48.3,23.88,15.14,-7.57,30.2,1.51,1.71E-04
9.2,13.29,0,26,48.3,23.88,15.7,-7.57,30.2,1.51,2.36E-04
10.2,15.46,0,26,48.3,23.88,16.23,-7.57,30.2,1.51,3.11E-04
11.2,17.48,0,26,48.3,23.88,16.74,-7.57,30.2,1.511,3.97E-04
12.3,18.97,0,26,48.3,23.88,17.16,-7.57,30.2,1.511,4.89E-04
13.3,20.27,0,26,48.3,23.87,17.53,-7.57,30.2,1.511,5.88E-04
14.3,21.31,0,26,48.3,23.87,17.83,-7.57,30.2,1.511,6.93E-04
15.3,22.08,0,26,48.3,23.87,18.08,-7.57,30.2,1.511,8.00E-04
16.3,22.79,0,26,48.3,23.87,18.28,-7.57,30.2,1.512,9.12E-04
17.3,23.29,0,26,48.3,23.87,18.44,-7.57,30.2,1.512,1.03E-03
18.4,23.72,0,26,48.3,23.87,18.58,-7.57,30.2,1.512,1.14E-03
19.4,24.01,0,26,48.3,23.87,18.68,-7.57,30.2,1.512,1.26E-03
20.4,24.24,0,26,48.2,23.87,18.76,-7.57,30.2,1.513,1.38E-03
21.4,24.37,0,26,48.2,23.86,18.81,-7.57,30.2,1.513,1.50E-03
22.4,24.39,0,26,48.2,23.86,18.84,-7.57,30.2,1.513,1.62E-03
23.5,24.4,0,26.1,48.2,23.86,18.86,-7.57,30.2,1.514,1.74E-03
24.5,24.29,0,26.1,48.2,23.86,18.85,-7.57,30.2,1.514,1.86E-03
25.5,24.21,0,26.1,48.2,23.86,18.84,-7.57,30.2,1.514,1.98E-03
26.5,24.14,0,26.1,48.2,23.86,18.83,-7.57,30.2,1.514,2.10E-03
27.5,24.18,0,26.1,48.2,23.86,18.83,-7.57,30.2,1.515,2.21E-03
28.6,24.23,0,26.1,48.2,23.86,18.84,-7.57,30.2,1.515,2.33E-03
29.6,24.24,0,26.1,48.2,23.85,18.84,-7.57,30.2,1.515,2.45E-03
30.6,24.3,0,26.1,48.2,23.85,18.85,-7.57,30.2,1.515,2.57E-03
31.6,24.32,0,26.1,48.2,23.85,18.87,-7.57,30.2,1.516,2.69E-03
32.6,24.42,0,26.1,48.2,23.85,18.88,-7.57,30.2,1.516,2.81E-03
33.7,24.37,0,26.1,48.2,23.85,18.88,-7.57,30.2,1.516,2.93E-03
34.7,24.31,0,26.1,48.1,23.85,18.87,-7.57,30.2,1.516,3.05E-03
35.7,24.19,0,26.1,48.1,23.85,18.86,-7.57,30.2,1.517,3.17E-03
36.7,24.07,0,26.1,48.1,23.85,18.84,-7.57,30.2,1.517,3.28E-03
37.7,23.83,0,26.1,48.1,23.84,18.8,-7.57,30.2,1.517,3.40E-03
38.7,23.58,0,26.1,48.1,23.84,18.76,-7.57,30.2,1.517,3.52E-03
39.8,23.3,0,26.1,48.1,23.84,18.7,-7.57,30.2,1.518,3.63E-03
40.8,22.95,0,26.1,48.1,23.83,18.63,-7.57,30.2,1.518,3.74E-03
41.8,22.7,0,26.1,48.1,23.83,18.57,-7.57,30.2,1.518,3.85E-03
42.8,22.39,0,26.1,48.1,23.83,18.51,-7.57,30.2,1.518,3.96E-03
43.8,22.13,0,26.1,48.1,23.83,18.44,-7.57,30.2,1.519,4.07E-03
44.8,21.9,0,26.1,48.1,23.83,18.38,-7.57,30.2,1.519,4.18E-03
45.8,21.59,0,26.1,48,23.83,18.31,-7.57,30.2,1.519,4.28E-03
46.9,21.41,0,26.1,48,23.84,18.26,-7.57,30.2,1.519,4.39E-03
47.9,21.18,0,26.1,48,23.84,18.2,-7.57,30.2,1.52,4.49E-03
48.9,20.98,0,26.1,48,23.84,18.15,-7.57,30.2,1.52,4.59E-03
49.9,20.72,0,26.1,48,23.84,18.09,-7.57,30.2,1.52,4.69E-03
50.9,20.46,0,26.1,48,23.84,18.04,-7.57,30.2,1.52,4.79E-03
51.9,20.22,0,26.1,48,23.83,17.98,-7.57,30.2,1.521,4.89E-03
53,19.97,0,26.1,48,23.83,17.93,-7.57,30.2,1.521,4.99E-03
54,19.62,0,26.1,48,23.83,17.86,-7.57,30.2,1.521,5.09E-03
55,19.38,0,26.1,47.9,23.83,17.8,-7.57,30.2,1.521,5.18E-03
56,19.1,0,26.1,47.9,23.82,17.74,-7.57,30.2,1.521,5.27E-03
57,18.79,0,26.1,47.9,23.82,17.67,-7.57,30.2,1.522,5.37E-03
58,18.59,0,26.1,47.9,23.82,17.62,-7.57,30.2,1.522,5.46E-03
59,18.3,0,26.1,47.9,23.82,17.55,-7.57,30.2,1.522,5.55E-03
60.1,18.08,0,26.1,47.9,23.82,17.5,-7.57,30.2,1.522,5.64E-03
61.1,17.79,0,26.1,47.9,23.81,17.44,-7.57,30.2,1.522,5.72E-03
62.1,17.58,0,26.1,47.9,23.81,17.38,-7.57,30.2,1.523,5.81E-03
63.1,17.38,0,26.1,47.8,23.81,17.33,-7.57,30.2,1.523,5.90E-03
64.2,17.17,0,26.2,47.8,23.81,17.28,-7.57,30.2,1.523,5.98E-03
65.2,16.96,0,26.2,47.8,23.81,17.23,-7.57,30.2,1.523,6.06E-03
66.2,16.74,0,26.2,47.8,23.81,17.18,-7.57,30.2,1.523,6.15E-03
67.2,16.56,0,26.2,47.8,23.81,17.13,-7.57,30.2,1.524,6.23E-03
68.3,16.4,0,26.2,47.8,23.81,17.09,-7.57,30.2,1.524,6.31E-03
69.3,16.13,0,26.2,47.8,23.81,17.04,-7.57,30.2,1.524,6.39E-03
70.3,15.91,0,26.2,47.7,23.81,16.99,-7.57,30.2,1.524,6.47E-03
71.3,15.73,0,26.2,47.7,23.81,16.94,-7.57,30.2,1.524,6.54E-03
72.3,15.53,0,26.2,47.7,23.81,16.9,-7.57,30.2,1.524,6.62E-03
73.3,15.29,0,26.2,47.7,23.81,16.85,-7.57,30.2,1.525,6.69E-03
