Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.97,0,26.5,47.6,23.65,13.56,-7.57,30.4,1.719,4.75E-06
1,0.97,0,26.5,47.6,23.65,13.56,-7.57,30.4,1.719,9.54E-06
2,1.03,0,26.5,47.6,23.65,13.57,-7.57,30.4,1.719,1.46E-05
3.1,1.64,0,26.5,47.6,23.65,13.64,-7.57,30.4,1.719,2.27E-05
4.1,2.5,0,26.5,47.6,23.65,13.78,-7.57,30.4,1.719,3.50E-05
5.1,4.01,0,26.5,47.5,23.65,14.02,-7.57,30.5,1.719,5.48E-05
6.1,5.9,0,26.5,47.5,23.66,14.37,-7.57,30.5,1.719,8.36E-05
7.2,8.37,0,26.5,47.5,23.66,14.83,-7.57,30.5,1.719,1.25E-04
8.2,11.21,0,26.5,47.5,23.66,15.4,-7.57,30.5,1.719,1.79E-04
9.2,14.08,0,26.5,47.5,23.67,16.02,-7.57,30.5,1.72,2.49E-04
10.2,17.11,0,26.5,47.5,23.67,16.68,-7.57,30.5,1.72,3.34E-04
11.3,19.78,0,26.5,47.5,23.67,17.34,-7.57,30.5,1.72,4.31E-04
12.3,22.39,0,26.5,47.5,23.67,17.97,-7.57,30.5,1.72,5.42E-04
13.3,24.69,0,26.5,47.5,23.68,18.55,-7.57,30.5,1.721,6.62E-04
14.3,26.7,0,26.6,47.5,23.68,19.08,-7.57,30.5,1.721,7.93E-04
15.3,28.6,0,26.6,47.5,23.68,19.57,-7.57,30.5,1.721,9.33E-04
16.4,30.16,0,26.6,47.5,23.68,20,-7.57,30.5,1.721,1.08E-03
17.4,31.58,0,26.6,47.5,23.69,20.37,-7.57,30.5,1.722,1.24E-03
18.4,32.75,0,26.6,47.5,23.69,20.7,-7.57,30.5,1.722,1.40E-03
19.4,33.79,0,26.6,47.5,23.69,20.98,-7.57,30.5,1.723,1.56E-03
20.4,34.75,0,26.6,47.5,23.7,21.24,-7.57,30.5,1.723,1.73E-03
21.5,35.45,0,26.6,47.5,23.7,21.45,-7.57,30.5,1.723,1.91E-03
22.5,36.06,0,26.6,47.5,23.7,21.62,-7.57,30.5,1.724,2.09E-03
23.5,36.62,0,26.6,47.6,23.7,21.77,-7.57,30.5,1.724,2.27E-03
24.5,37.06,0,26.6,47.6,23.71,21.9,-7.57,30.5,1.724,2.45E-03
25.5,37.46,0,26.6,47.6,23.71,22.01,-7.57,30.5,1.725,2.63E-03
26.5,37.82,0,26.6,47.6,23.71,22.11,-7.57,30.5,1.725,2.81E-03
27.6,38.15,0,26.6,47.6,23.71,22.19,-7.57,30.5,1.726,3.00E-03
28.6,38.47,0,26.6,47.6,23.71,22.27,-7.57,30.5,1.726,3.19E-03
29.6,38.68,0,26.6,47.6,23.71,22.34,-7.57,30.5,1.727,3.38E-03
30.6,38.92,0,26.6,47.6,23.71,22.4,-7.57,30.5,1.727,3.57E-03
31.6,39.11,0,26.6,47.6,23.71,22.45,-7.57,30.5,1.727,3.76E-03
32.7,39.25,0,26.6,47.6,23.71,22.49,-7.57,30.5,1.728,3.95E-03
33.7,39.39,0,26.6,47.6,23.71,22.53,-7.57,30.5,1.728,4.15E-03
34.7,39.51,0,26.6,47.6,23.72,22.56,-7.57,30.5,1.729,4.34E-03
35.7,39.61,0,26.6,47.6,23.72,22.59,-7.57,30.5,1.729,4.53E-03
36.7,39.79,0,26.6,47.6,23.72,22.62,-7.57,30.5,1.73,4.73E-03
37.7,39.94,0,26.6,47.5,23.72,22.65,-7.57,30.5,1.73,4.92E-03
38.8,40.05,0,26.6,47.5,23.72,22.68,-7.57,30.5,1.73,5.12E-03
39.8,40.16,0,26.6,47.5,23.73,22.7,-7.57,30.5,1.731,5.32E-03
40.8,40.29,0,26.6,47.5,23.73,22.73,-7.57,30.5,1.731,5.52E-03
41.8,40.47,0,26.6,47.5,23.73,22.76,-7.57,30.5,1.732,5.71E-03
42.8,40.55,0,26.6,47.5,23.74,22.78,-7.57,30.5,1.732,5.91E-03
43.9,40.58,0,26.6,47.5,23.74,22.8,-7.57,30.5,1.733,6.11E-03
44.9,40.61,0,26.6,47.5,23.74,22.81,-7.57,30.5,1.733,6.31E-03
45.9,40.75,0,26.6,47.5,23.74,22.83,-7.57,30.5,1.734,6.51E-03
46.9,40.83,0,26.6,47.5,23.74,22.85,-7.57,30.5,1.734,6.71E-03
47.9,40.87,0,26.6,47.5,23.74,22.86,-7.57,30.6,1.734,6.91E-03
48.9,40.93,0,26.6,47.5,23.74,22.88,-7.57,30.6,1.735,7.11E-03
50,41.04,0,26.6,47.5,23.74,22.9,-7.57,30.6,1.735,7.31E-03
51,41.15,0,26.6,47.5,23.74,22.92,-7.57,30.6,1.736,7.51E-03
52,41.2,0,26.6,47.5,23.74,22.94,-7.57,30.6,1.736,7.71E-03
53,41.19,0,26.6,47.5,23.75,22.94,-7.57,30.6,1.737,7.91E-03
54,41.2,0,26.7,47.4,23.75,22.95,-7.57,30.6,1.737,8.12E-03
55,41.24,0,26.7,47.4,23.75,22.95,-7.57,30.6,1.738,8.32E-03
56.1,41.32,0,26.7,47.4,23.75,22.96,-7.57,30.6,1.738,8.52E-03
57.1,41.39,0,26.7,47.4,23.75,22.98,-7.57,30.6,1.738,8.72E-03
58.1,41.46,0,26.7,47.4,23.75,22.99,-7.57,30.6,1.739,8.93E-03
59.1,41.57,0,26.7,47.4,23.75,23.01,-7.57,30.6,1.739,9.13E-03
60.1,41.67,0,26.7,47.4,23.75,23.03,-7.57,30.6,1.74,9.33E-03
61.2,41.69,0,26.7,47.4,23.75,23.05,-7.57,30.6,1.74,9.54E-03
62.2,41.7,0,26.7,47.4,23.75,23.06,-7.57,30.6,1.741,9.74E-03
63.2,41.77,0,26.7,47.4,23.75,23.07,-7.57,30.6,1.741,9.95E-03
64.2,41.8,0,26.7,47.3,23.75,23.08,-7.57,30.6,1.742,1.02E-02
65.2,41.83,0,26.7,47.3,23.75,23.09,-7.57,30.6,1.742,1.04E-02
66.3,41.88,0,26.7,47.3,23.75,23.1,-7.57,30.6,1.743,1.06E-02
67.3,41.98,0,26.7,47.3,23.75,23.11,-7.57,30.6,1.743,1.08E-02
68.3,42.08,0,26.6,47.3,23.75,23.13,-7.57,30.6,1.743,1.10E-02
69.3,42.13,0,26.6,47.3,23.75,23.15,-7.57,30.6,1.744,1.12E-02
70.3,42.19,0,26.6,47.3,23.75,23.16,-7.57,30.6,1.744,1.14E-02
71.3,42.3,0,26.6,47.3,23.75,23.19,-7.57,30.6,1.745,1.16E-02
72.4,42.38,0,26.6,47.3,23.75,23.21,-7.57,30.6,1.745,1.18E-02
73.4,42.47,0,26.6,47.3,23.75,23.23,-7.57,30.6,1.746,1.20E-02
74.4,42.54,0,26.6,47.3,23.75,23.24,-7.57,30.6,1.746,1.22E-02
75.4,42.63,0,26.6,47.3,23.75,23.26,-7.57,30.6,1.747,1.24E-02
76.4,42.72,0,26.6,47.3,23.75,23.28,-7.57,30.6,1.747,1.26E-02
77.4,42.76,0,26.6,47.3,23.75,23.3,-7.57,30.6,1.748,1.28E-02
78.5,42.87,0,26.6,47.3,23.75,23.32,-7.57,30.6,1.748,1.31E-02
79.5,42.92,0,26.6,47.3,23.75,23.33,-7.57,30.6,1.749,1.33E-02
80.5,43,0,26.6,47.3,23.75,23.35,-7.57,30.7,1.749,1.35E-02
81.5,43.04,0,26.6,47.3,23.75,23.37,-7.57,30.7,1.749,1.37E-02
82.5,43,0,26.6,47.3,23.75,23.37,-7.57,30.7,1.75,1.39E-02
83.5,43.04,0,26.6,47.3,23.75,23.38,-7.57,30.7,1.75,1.41E-02
