Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.13,0,26.3,48.9,23.25,13.68,-7.57,29.5,0.252,6.11E-07
1,0.18,0,26.3,48.9,23.25,13.69,-7.57,29.6,0.252,1.50E-06
2,0.66,0,26.3,48.9,23.25,13.74,-7.57,29.6,0.252,4.74E-06
3.1,1.43,0,26.3,49,23.26,13.86,-7.57,29.6,0.253,1.17E-05
4.1,2.76,0,26.3,49,23.26,14.08,-7.57,29.6,0.253,2.52E-05
5.1,4.72,0,26.3,49,23.26,14.42,-7.57,29.6,0.253,4.82E-05
6.1,6.99,0,26.3,49,23.26,14.87,-7.57,29.6,0.253,8.24E-05
7.1,9.76,0,26.3,49,23.26,15.43,-7.57,29.6,0.253,1.30E-04
8.1,12.51,0,26.3,49,23.26,16.04,-7.57,29.6,0.253,1.91E-04
9.2,15.15,0,26.3,49,23.26,16.66,-7.57,29.6,0.253,2.65E-04
10.2,17.63,0,26.3,49.1,23.27,17.27,-7.57,29.6,0.253,3.51E-04
11.2,19.62,0,26.3,49.1,23.26,17.82,-7.57,29.6,0.253,4.47E-04
12.2,21.4,0,26.3,49.1,23.26,18.31,-7.57,29.6,0.254,5.52E-04
13.2,22.84,0,26.3,49.1,23.27,18.73,-7.57,29.6,0.254,6.63E-04
14.2,24.07,0,26.3,49.2,23.27,19.09,-7.57,29.6,0.254,7.81E-04
15.3,25.09,0,26.3,49.2,23.27,19.39,-7.57,29.6,0.254,9.03E-04
16.3,25.86,0,26.3,49.2,23.27,19.63,-7.57,29.6,0.255,1.03E-03
17.3,26.47,0,26.3,49.2,23.27,19.82,-7.57,29.6,0.255,1.16E-03
18.3,27.02,0,26.3,49.3,23.27,19.99,-7.57,29.6,0.255,1.29E-03
19.3,27.39,0,26.3,49.3,23.27,20.11,-7.57,29.6,0.256,1.43E-03
