Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.52,0,25.5,47.6,23.44,13.62,-7.57,29.9,1.568,2.53E-06
1,0.56,0,25.5,47.6,23.43,13.63,-7.57,29.9,1.568,5.28E-06
2,1.07,0,25.5,47.6,23.44,13.69,-7.57,29.9,1.568,1.06E-05
3.1,1.85,0,25.5,47.6,23.44,13.81,-7.57,29.9,1.568,1.96E-05
4.1,3.18,0,25.5,47.6,23.44,14.03,-7.57,29.9,1.568,3.51E-05
5.1,5.05,0,25.5,47.6,23.44,14.36,-7.57,29.9,1.568,5.98E-05
6.1,7.2,0,25.5,47.6,23.44,14.78,-7.57,29.9,1.568,9.50E-05
7.1,9.7,0,25.5,47.6,23.45,15.29,-7.57,29.9,1.568,1.42E-04
8.1,12.21,0,25.5,47.6,23.45,15.85,-7.57,29.9,1.568,2.02E-04
9.2,14.7,0,25.5,47.6,23.45,16.42,-7.57,29.9,1.568,2.74E-04
10.2,17.07,0,25.5,47.6,23.45,16.99,-7.57,29.9,1.568,3.57E-04
11.2,19.23,0,25.5,47.6,23.45,17.53,-7.57,29.9,1.569,4.51E-04
12.2,21.46,0,25.5,47.6,23.45,18.07,-7.57,29.9,1.569,5.56E-04
13.2,23.49,0,25.5,47.6,23.45,18.59,-7.57,29.9,1.569,6.71E-04
14.2,25.41,0,25.5,47.6,23.45,19.08,-7.57,30,1.569,7.95E-04
15.3,27.38,0,25.5,47.6,23.45,19.55,-7.57,30,1.57,9.29E-04
16.3,29.12,0,25.5,47.6,23.45,20,-7.57,30,1.57,1.07E-03
17.3,30.78,0,25.5,47.6,23.45,20.42,-7.57,30,1.57,1.22E-03
18.3,32.29,0,25.5,47.5,23.45,20.81,-7.57,30,1.571,1.38E-03
19.3,33.73,0,25.5,47.5,23.45,21.18,-7.57,30,1.571,1.54E-03
20.3,35.18,0,25.5,47.5,23.45,21.54,-7.57,30,1.571,1.72E-03
21.3,36.4,0,25.5,47.5,23.45,21.86,-7.57,30,1.572,1.89E-03
22.4,37.57,0,25.5,47.5,23.45,22.17,-7.57,30,1.572,2.08E-03
23.4,38.69,0,25.5,47.5,23.45,22.45,-7.57,30,1.573,2.27E-03
24.4,39.63,0,25.5,47.5,23.45,22.71,-7.57,30,1.573,2.46E-03
25.4,40.5,0,25.5,47.5,23.45,22.94,-7.57,30,1.573,2.66E-03
26.5,41.17,0,25.5,47.5,23.45,23.14,-7.57,30,1.574,2.86E-03
27.5,41.78,0,25.5,47.5,23.45,23.31,-7.57,30,1.574,3.07E-03
28.5,42.32,0,25.5,47.5,23.45,23.46,-7.57,30,1.575,3.28E-03
29.5,42.71,0,25.5,47.4,23.45,23.58,-7.57,30,1.575,3.48E-03
30.5,43.09,0,25.5,47.4,23.45,23.69,-7.57,30,1.576,3.69E-03
31.5,43.43,0,25.6,47.4,23.45,23.78,-7.57,30,1.576,3.91E-03
32.5,43.65,0,25.6,47.4,23.45,23.85,-7.57,30,1.577,4.12E-03
33.6,43.83,0,25.6,47.4,23.45,23.91,-7.57,30,1.577,4.33E-03
34.6,44.01,0,25.6,47.4,23.45,23.96,-7.57,30,1.578,4.55E-03
35.6,44.1,0,25.6,47.4,23.45,23.99,-7.57,30,1.578,4.77E-03
36.6,44.12,0,25.6,47.4,23.45,24.01,-7.57,30,1.579,4.98E-03
37.6,44.04,0,25.6,47.3,23.45,24.01,-7.57,30,1.579,5.20E-03
