Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.5,0,26.5,49.5,23.74,13.37,-7.57,30.2,0.81,2.45E-06
1,0.57,0,26.5,49.5,23.74,13.38,-7.57,30.2,0.81,5.26E-06
2,0.92,0,26.5,49.5,23.74,13.43,-7.57,30.2,0.81,9.76E-06
3,1.79,0,26.5,49.5,23.74,13.56,-7.57,30.2,0.81,1.85E-05
4.1,3.19,0,26.5,49.5,23.74,13.79,-7.57,30.2,0.81,3.41E-05
5.1,5.03,0,26.5,49.6,23.74,14.12,-7.57,30.2,0.81,5.87E-05
6.1,7.7,0,26.5,49.6,23.74,14.59,-7.57,30.2,0.811,9.63E-05
7.1,10.64,0,26.5,49.6,23.74,15.18,-7.57,30.2,0.811,1.48E-04
8.1,13.87,0,26.5,49.6,23.74,15.85,-7.57,30.2,0.811,2.16E-04
9.1,17.1,0,26.5,49.6,23.74,16.57,-7.57,30.2,0.811,3.00E-04
10.2,20.21,0,26.5,49.6,23.74,17.29,-7.57,30.2,0.811,3.98E-04
11.2,23.2,0,26.5,49.7,23.74,18,-7.57,30.2,0.811,5.12E-04
12.2,25.76,0,26.5,49.7,23.75,18.66,-7.57,30.2,0.812,6.38E-04
13.2,28.1,0,26.5,49.7,23.75,19.26,-7.57,30.2,0.812,7.75E-04
14.2,30.26,0,26.5,49.7,23.75,19.82,-7.57,30.2,0.812,9.23E-04
15.2,32.07,0,26.5,49.7,23.75,20.31,-7.57,30.2,0.813,1.08E-03
16.3,33.62,0,26.5,49.8,23.75,20.73,-7.57,30.2,0.813,1.24E-03
17.3,35,0,26.5,49.8,23.75,21.11,-7.57,30.2,0.813,1.41E-03
18.3,36.16,0,26.5,49.8,23.75,21.44,-7.57,30.2,0.814,1.59E-03
19.3,37.24,0,26.5,49.8,23.75,21.73,-7.57,30.2,0.814,1.77E-03
20.3,38.13,0,26.5,49.8,23.75,21.97,-7.57,30.2,0.815,1.96E-03
21.3,38.93,0,26.5,49.9,23.75,22.19,-7.57,30.2,0.815,2.15E-03
22.3,39.62,0,26.5,49.9,23.75,22.39,-7.57,30.2,0.816,2.34E-03
23.4,40.15,0,26.5,49.9,23.75,22.54,-7.57,30.2,0.816,2.54E-03
24.4,40.65,0,26.5,49.9,23.75,22.68,-7.57,30.2,0.816,2.74E-03
25.4,41.06,0,26.5,49.9,23.75,22.8,-7.57,30.3,0.817,2.94E-03
26.4,41.34,0,26.5,49.9,23.75,22.89,-7.57,30.3,0.817,3.14E-03
27.5,41.56,0,26.5,50,23.75,22.96,-7.57,30.3,0.818,3.35E-03
28.5,41.75,0,26.5,50,23.75,23.02,-7.57,30.3,0.818,3.55E-03
29.5,41.95,0,26.6,50,23.75,23.07,-7.57,30.3,0.819,3.76E-03
30.5,42.05,0,26.6,50,23.75,23.11,-7.57,30.3,0.819,3.96E-03
31.5,42.11,0,26.6,50,23.75,23.13,-7.57,30.3,0.82,4.17E-03
32.5,42.21,0,26.6,50,23.75,23.16,-7.57,30.3,0.82,4.38E-03
33.6,42.32,0,26.6,50,23.75,23.19,-7.57,30.3,0.821,4.59E-03
34.6,42.41,0,26.6,50,23.75,23.21,-7.57,30.3,0.821,4.80E-03
35.6,42.44,0,26.6,50,23.75,23.23,-7.57,30.3,0.821,5.00E-03
36.6,42.49,0,26.6,50,23.75,23.24,-7.57,30.3,0.822,5.21E-03
37.6,42.54,0,26.6,50,23.75,23.25,-7.57,30.3,0.822,5.42E-03
38.7,42.53,0,26.6,50,23.75,23.25,-7.57,30.3,0.823,5.63E-03
39.7,42.46,0,26.6,50,23.75,23.25,-7.57,30.3,0.823,5.83E-03
40.7,42.36,0,26.6,50,23.75,23.23,-7.57,30.3,0.824,6.04E-03
