Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,65.38,0,25.8,48.3,24.36,27.71,-7.57,30.8,1.298,3.19E-04
1,64.88,0,25.8,48.3,24.36,27.63,-7.57,30.8,1.298,6.36E-04
2,64.01,0,25.8,48.3,24.36,27.49,-7.57,30.8,1.299,9.54E-04
3.1,62.92,0,25.8,48.3,24.36,27.3,-7.57,30.8,1.3,1.26E-03
4.1,61.6,0,25.8,48.4,24.36,27.05,-7.57,30.8,1.3,1.56E-03
5.1,60.11,0,25.8,48.4,24.36,26.76,-7.57,30.8,1.301,1.86E-03
6.1,58.65,0,25.8,48.4,24.36,26.44,-7.57,30.8,1.302,2.14E-03
7.1,57.16,0,25.8,48.4,24.36,26.11,-7.57,30.8,1.302,2.43E-03
8.2,55.95,0,25.8,48.4,24.36,25.81,-7.57,30.8,1.303,2.70E-03
9.2,54.81,0,25.8,48.4,24.36,25.54,-7.57,30.8,1.303,2.97E-03
10.2,53.76,0,25.8,48.4,24.36,25.28,-7.57,30.8,1.304,3.23E-03
11.2,52.93,0,25.8,48.4,24.36,25.05,-7.57,30.8,1.305,3.49E-03
12.2,52.15,0,25.8,48.4,24.37,24.85,-7.57,30.8,1.305,3.75E-03
13.3,51.45,0,25.8,48.4,24.37,24.67,-7.57,30.8,1.306,4.00E-03
14.3,50.74,0,25.8,48.4,24.37,24.49,-7.57,30.8,1.306,4.25E-03
15.3,50.08,0,25.8,48.4,24.37,24.33,-7.57,30.8,1.307,4.49E-03
16.3,49.53,0,25.7,48.4,24.37,24.19,-7.57,30.8,1.307,4.74E-03
17.3,48.97,0,25.7,48.4,24.37,24.05,-7.57,30.8,1.308,4.98E-03
18.3,48.4,0,25.7,48.4,24.37,23.92,-7.57,30.8,1.308,5.21E-03
19.4,47.84,0,25.7,48.4,24.37,23.79,-7.57,30.8,1.309,5.45E-03
20.4,47.38,0,25.7,48.4,24.37,23.67,-7.57,30.8,1.31,5.68E-03
21.4,47,0,25.7,48.4,24.37,23.57,-7.57,30.8,1.31,5.91E-03
22.4,46.57,0,25.7,48.4,24.37,23.47,-7.57,30.8,1.311,6.14E-03
23.4,46.14,0,25.7,48.4,24.37,23.37,-7.57,30.8,1.311,6.36E-03
24.5,45.81,0,25.7,48.4,24.37,23.29,-7.57,30.8,1.312,6.59E-03
25.5,45.56,0,25.8,48.4,24.38,23.21,-7.57,30.8,1.312,6.81E-03
26.5,45.25,0,25.8,48.4,24.38,23.14,-7.57,30.8,1.313,7.04E-03
27.5,44.94,0,25.8,48.4,24.38,23.07,-7.57,30.8,1.313,7.26E-03
28.6,44.71,0,25.8,48.4,24.38,23.01,-7.57,30.8,1.314,7.48E-03
29.6,44.52,0,25.8,48.4,24.38,22.95,-7.57,30.8,1.314,7.70E-03
30.6,44.28,0,25.8,48.4,24.38,22.9,-7.57,30.8,1.314,7.91E-03
31.6,44,0,25.8,48.4,24.38,22.84,-7.57,30.8,1.315,8.13E-03
32.6,43.84,0,25.8,48.4,24.38,22.79,-7.57,30.8,1.315,8.34E-03
33.6,43.67,0,25.8,48.4,24.38,22.74,-7.57,30.8,1.316,8.56E-03
34.7,43.41,0,25.8,48.4,24.38,22.69,-7.57,30.8,1.316,8.77E-03
35.7,43.12,0,25.8,48.4,24.38,22.64,-7.57,30.8,1.317,8.98E-03
36.7,42.82,0,25.8,48.4,24.38,22.57,-7.57,30.8,1.317,9.19E-03
37.7,42.52,0,25.8,48.3,24.38,22.51,-7.57,30.8,1.318,9.40E-03
38.7,42.18,0,25.8,48.3,24.38,22.44,-7.57,30.8,1.318,9.60E-03
39.7,41.82,0,25.8,48.3,24.38,22.36,-7.57,30.8,1.319,9.81E-03
40.8,41.51,0,25.8,48.3,24.38,22.28,-7.57,30.8,1.319,1.00E-02
41.8,41.18,0,25.8,48.3,24.38,22.21,-7.57,30.8,1.32,1.02E-02
42.8,40.94,0,25.8,48.3,24.38,22.14,-7.57,30.8,1.32,1.04E-02
43.8,40.75,0,25.8,48.3,24.39,22.09,-7.57,30.8,1.32,1.06E-02
44.8,40.52,0,25.8,48.3,24.38,22.04,-7.57,30.8,1.321,1.08E-02
45.8,40.33,0,25.8,48.3,24.38,21.99,-7.57,30.8,1.321,1.10E-02
46.9,40.16,0,25.8,48.3,24.38,21.95,-7.57,30.8,1.322,1.12E-02
47.9,40.04,0,25.8,48.3,24.38,21.91,-7.57,30.8,1.322,1.14E-02
48.9,39.84,0,25.8,48.3,24.38,21.87,-7.57,30.8,1.323,1.16E-02
49.9,39.66,0,25.8,48.3,24.38,21.83,-7.57,30.8,1.323,1.18E-02
