Place,Date,Time,Value,Unit
121,6/29/22,15:05:30,24.8,T1 KTemp C
122,6/29/22,15:06:30,24.8,T1 KTemp C
123,6/29/22,15:07:30,24.9,T1 KTemp C
124,6/29/22,15:08:30,25,T1 KTemp C
125,6/29/22,15:09:30,25,T1 KTemp C
126,6/29/22,15:10:30,25,T1 KTemp C
127,6/29/22,15:11:30,25,T1 KTemp C
128,6/29/22,15:12:30,25.2,T1 KTemp C
129,6/29/22,15:13:30,25.2,T1 KTemp C
130,6/29/22,15:14:30,25.2,T1 KTemp C
131,6/29/22,15:15:30,25.5,T1 KTemp C
132,6/29/22,15:16:30,25.5,T1 KTemp C
133,6/29/22,15:17:30,25.5,T1 KTemp C
134,6/29/22,15:18:30,25.5,T1 KTemp C
135,6/29/22,15:19:30,25.6,T1 KTemp C
136,6/29/22,15:20:30,25.6,T1 KTemp C
137,6/29/22,15:21:30,25.8,T1 KTemp C
138,6/29/22,15:22:30,25.8,T1 KTemp C
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
