Place,Date,Time,Value,Unit
162,6/29/22,16:12:39,31.2,T1 KTemp C
163,6/29/22,16:13:39,33.8,T1 KTemp C
164,6/29/22,16:14:39,34.6,T1 KTemp C
165,6/29/22,16:15:39,34.7,T1 KTemp C
166,6/29/22,16:16:39,33,T1 KTemp C
167,6/29/22,16:17:39,29.8,T1 KTemp C
168,6/29/22,16:18:39,26.6,T1 KTemp C
169,6/29/22,16:19:39,24,T1 KTemp C
170,6/29/22,16:20:39,21.7,T1 KTemp C
171,6/29/22,16:21:39,19.6,T1 KTemp C
172,6/29/22,16:22:39,18.2,T1 KTemp C
173,6/29/22,16:23:39,16.7,T1 KTemp C
174,6/29/22,16:24:39,15.6,T1 KTemp C
175,6/29/22,16:25:39,14.5,T1 KTemp C
176,6/29/22,16:26:39,13.7,T1 KTemp C
177,6/29/22,16:27:39,13,T1 KTemp C
178,6/29/22,16:28:39,12.4,T1 KTemp C
179,6/29/22,16:29:39,12,T1 KTemp C
180,6/29/22,16:30:39,11.5,T1 KTemp C
181,6/29/22,16:31:39,11.2,T1 KTemp C
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
