Place,Date,Time,Value,Unit
103,6/29/22,14:40:23,25.8,T1 KTemp C
104,6/29/22,14:41:23,25.6,T1 KTemp C
105,6/29/22,14:42:23,25.6,T1 KTemp C
106,6/29/22,14:43:23,25.7,T1 KTemp C
107,6/29/22,14:44:23,25.7,T1 KTemp C
108,6/29/22,14:45:23,25.7,T1 KTemp C
109,6/29/22,14:46:23,25.7,T1 KTemp C
110,6/29/22,14:47:23,25.8,T1 KTemp C
111,6/29/22,14:48:23,25.8,T1 KTemp C
112,6/29/22,14:49:23,25.8,T1 KTemp C
113,6/29/22,14:50:23,25.8,T1 KTemp C
114,6/29/22,14:51:23,25.8,T1 KTemp C
115,6/29/22,14:52:23,25.9,T1 KTemp C
116,6/29/22,14:53:23,26,T1 KTemp C
117,6/29/22,14:54:23,26.1,T1 KTemp C
118,6/29/22,14:55:23,26.1,T1 KTemp C
119,6/29/22,14:56:23,26.1,T1 KTemp C
120,6/29/22,14:57:23,26.2,T1 KTemp C
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
