Place,Date,Time,Value,Unit
182,6/29/22,16:38:53,34.1,T1 KTemp C
183,6/29/22,16:39:53,33,T1 KTemp C
184,6/29/22,16:40:53,30.4,T1 KTemp C
185,6/29/22,16:41:53,27.8,T1 KTemp C
186,6/29/22,16:42:53,25.7,T1 KTemp C
187,6/29/22,16:43:53,23.8,T1 KTemp C
188,6/29/22,16:44:53,22.2,T1 KTemp C
189,6/29/22,16:45:53,20.7,T1 KTemp C
190,6/29/22,16:46:53,19.5,T1 KTemp C
191,6/29/22,16:47:53,18.4,T1 KTemp C
192,6/29/22,16:48:53,18.6,T1 KTemp C
193,6/29/22,16:49:53,17.9,T1 KTemp C
194,6/29/22,16:50:53,16.9,T1 KTemp C
195,6/29/22,16:51:53,16.1,T1 KTemp C
196,6/29/22,16:52:53,15.4,T1 KTemp C
197,6/29/22,16:53:53,14.8,T1 KTemp C
198,6/29/22,16:54:53,14,T1 KTemp C
,,,,
,,,,
