Place,Date,Time,Value,Unit
139,6/29/22,15:37:52,19.6,T1 KTemp C
140,6/29/22,15:38:52,19,T1 KTemp C
141,6/29/22,15:39:52,20.4,T1 KTemp C
142,6/29/22,15:40:52,21.5,T1 KTemp C
143,6/29/22,15:41:52,22.8,T1 KTemp C
144,6/29/22,15:42:52,24,T1 KTemp C
145,6/29/22,15:43:52,25.1,T1 KTemp C
146,6/29/22,15:44:52,26.4,T1 KTemp C
147,6/29/22,15:45:52,27.5,T1 KTemp C
148,6/29/22,15:46:52,28.4,T1 KTemp C
149,6/29/22,15:47:52,29.3,T1 KTemp C
150,6/29/22,15:48:52,30.5,T1 KTemp C
151,6/29/22,15:49:52,31.5,T1 KTemp C
152,6/29/22,15:50:52,32.2,T1 KTemp C
153,6/29/22,15:51:52,32.9,T1 KTemp C
154,6/29/22,15:52:52,33.5,T1 KTemp C
155,6/29/22,15:53:52,34.1,T1 KTemp C
156,6/29/22,15:54:52,34.6,T1 KTemp C
157,6/29/22,15:55:52,35,T1 KTemp C
158,6/29/22,15:56:52,35.5,T1 KTemp C
159,6/29/22,15:57:52,36,T1 KTemp C
160,6/29/22,15:58:52,36.4,T1 KTemp C
161,6/29/22,15:59:52,36.7,T1 KTemp C
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
