"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"1","treatment:as.factor(date)","hot:2021-10-11-cold:2021-10-11",0,-0.268770833333342,-5.90727049181905,5.36972882515237,1
"2","treatment:as.factor(date)","hot:2021-10-18-hot:2021-10-11",0,-0.134270833333318,-5.19779300403428,4.92925133736765,1
"3","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-11",0,-0.40304166666666,-5.56684133784944,4.76075800451612,0.999999999989185
"4","treatment:as.factor(date)","control:2021-10-12-hot:2021-10-05",0,0.532499999999846,-5.01431062664104,6.07931062664073,0.999999999812172
"5","treatment:as.factor(date)","cold:2021-10-18-cold:2021-10-12",0,-0.651666666666614,-5.71518883736758,4.41185550403435,0.999999989849063
"6","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-12",0,0.699166666666722,-4.36435550403424,5.76268883736769,0.999999973847805
"7","treatment:as.factor(date)","cold:2021-10-12-hot:2021-10-11",0,-0.83343750000004,-6.38024812664092,4.71337312664085,0.999999919116214
"8","treatment:as.factor(date)","cold:2021-10-12-cold:2021-10-11",0,-1.10220833333338,-6.74070799181909,4.53629132515233,0.999997465313293
"9","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-18",0,-0.951083333333363,-5.00190106989413,3.09973440322741,0.999974458424611
"10","treatment:as.factor(date)","control:2021-10-19-control:2021-10-11",0,1.164625,-3.58537983793423,5.91462983793423,0.999956519653403
"11","treatment:as.factor(date)","hot:2021-10-19-hot:2021-10-12",0,1.20381250000002,-3.43698222606483,5.84460722606487,0.999913975919046
"12","treatment:as.factor(date)","cold:2021-10-18-hot:2021-10-11",0,-1.48510416666665,-6.54862633736762,3.57841800403431,0.999635556443916
"13","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-18",0,1.35083333333334,-3.17811857837252,5.8797852450392,0.999558226401729
"14","treatment:as.factor(date)","cold:2021-10-18-cold:2021-10-11",0,-1.753875,-6.91767467118278,3.40992467118279,0.998138239894515
"15","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-12",0,-1.60274999999998,-6.24354472606483,3.03804472606488,0.997775927929875
"16","treatment:as.factor(date)","cold:2021-10-19-hot:2021-10-12",0,-1.76781249999993,-6.40860722606479,2.87298222606492,0.99389954513792
"17","as.factor(date)","2021-10-18-2021-10-11",0,0.431425068313676,-1.94796121917914,2.81081135580649,0.987734886106242
"18","treatment:as.factor(date)","cold:2021-10-18-hot:2021-10-12",0,2.15489583333338,-2.90862633736758,7.21841800403435,0.98242972852179
