"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"1","treatment:as.factor(date)","hot:2021-10-18-hot:2021-10-12",0,-0.0307291666666671,-1.19961628251191,1.13815794917857,1
"2","treatment:as.factor(date)","control:2021-10-19-control:2021-10-18",0,0.0388333333333293,-0.896276359342863,0.973943026009522,1
"3","as.factor(date)","2021-10-19-2021-10-18",0,-0.00045833333333789,-0.43425150713343,0.433334840466755,0.999999999984177
"4","treatment:as.factor(date)","cold:2021-10-18-cold:2021-10-12",0,0.0984375000000099,-1.07044961584523,1.26732461584525,0.99999999996909
"5","treatment:as.factor(date)","cold:2021-10-19-cold:2021-10-12",0,-0.128937499999987,-1.20024023744387,0.9423652374439,0.999999995898205
"6","treatment:as.factor(date)","hot:2021-10-18-hot:2021-10-11",0,0.161770833333335,-1.00711628251191,1.33065794917858,0.999999973027926
"7","treatment:as.factor(date)","hot:2021-10-19-hot:2021-10-12",0,0.156437499999996,-0.914865237443891,1.22774023744388,0.999999944713749
"8","treatment:as.factor(date)","hot:2021-10-12-hot:2021-10-11",0,0.192500000000003,-1.08795168105118,1.47295168105119,0.99999991852468
"9","treatment:as.factor(date)","control:2021-10-19-control:2021-10-11",0,-0.168041666666657,-1.26455497658967,0.928471643256358,0.99999989484708
"10","treatment:as.factor(date)","control:2021-10-18-control:2021-10-11",0,-0.206874999999986,-1.3989106425764,0.985160642576429,0.999999458109393
"11","treatment:as.factor(date)","hot:2021-10-19-hot:2021-10-18",0,0.187166666666663,-0.74794302600953,1.12227635934286,0.999996568688986
"12","treatment:as.factor(date)","cold:2021-10-19-cold:2021-10-11",0,0.219749999999999,-0.876763309923015,1.31626330992301,0.999996512783263
"13","treatment:as.factor(date)","cold:2021-10-19-cold:2021-10-18",0,-0.227374999999997,-1.16248469267619,0.707734692676196,0.999960721825229
"14","treatment:as.factor(date)","cold:2021-10-12-cold:2021-10-11",0,0.348687499999986,-0.952930105554874,1.65030510555485,0.999873625783086
"15","as.factor(date)","2021-10-12-2021-10-11",0,-0.0395610381344085,-0.639978567073437,0.560856490804621,0.999763817537016
"16","treatment:as.factor(date)","hot:2021-10-19-hot:2021-10-11",0,0.348937499999998,-0.722365237443888,1.42024023744388,0.998817398087644
"17","treatment:as.factor(date)","control:2021-10-18-control:2021-10-12",0,0.435104166666672,-0.733782949178569,1.60399128251191,0.995161612507985
"18","treatment:as.factor(date)","cold:2021-10-18-cold:2021-10-11",0,0.447124999999996,-0.744910642576419,1.63916064257641,0.994773484593295
"19","treatment:as.factor(date)","control:2021-10-11-control:2021-10-05",0,-0.515208333333359,-1.81682593888822,0.786409272221501,0.99110871470584
"20","treatment:as.factor(date)","control:2021-10-19-control:2021-10-12",0,0.473937500000002,-0.597365237443885,1.54524023744389,0.975149903835098
"21","as.factor(date)","2021-10-18-2021-10-11",0,0.128043128532262,-0.421225519122179,0.677311776186703,0.968865089507063
"22","as.factor(date)","2021-10-19-2021-10-11",0,0.127584795198924,-0.377045681375023,0.632215271772871,0.958300109105055
"23","treatment:as.factor(date)","control:2021-10-12-control:2021-10-11",0,-0.641979166666658,-1.94359677222152,0.659638438888202,0.938870509885179
"24","as.factor(date)","2021-10-18-2021-10-12",0,0.167604166666671,-0.374637300583445,0.709845633916786,0.916222818814592
"25","as.factor(date)","2021-10-19-2021-10-12",0,0.167145833333333,-0.329826680390182,0.664118347056847,0.889193387222174
"26","treatment:as.factor(date)","control:2021-10-18-control:2021-10-05",0,-0.722083333333345,-1.89097044917859,0.446803782511896,0.732614758561671
"27","treatment:as.factor(date)","control:2021-10-19-control:2021-10-05",0,-0.683250000000015,-1.7545527374439,0.388052737443871,0.685443676585479
"28","treatment:as.factor(date)","control:2021-10-12-control:2021-10-05",0,-1.15718750000002,-2.4376391810512,0.123264181051169,0.128278213138658
"29","as.factor(date)","2021-10-18-2021-10-05",0,-0.727708333333361,-1.26994980058348,-0.185466866083245,0.00241968812746585
"30","as.factor(date)","2021-10-11-2021-10-05",0,-0.855751461865623,-1.45616899080465,-0.255333932926594,0.00100880002645187
"31","as.factor(date)","2021-10-19-2021-10-05",0,-0.728166666666699,-1.22513918039021,-0.231194152943184,0.000650974865972653
"32","as.factor(date)","2021-10-12-2021-10-05",0,-0.895312500000031,-1.48930826645521,-0.301316733544857,0.000405316568125702
"33","treatment:as.factor(date)","hot:2021-10-11-hot:2021-10-05",0,1.85093749999999,0.570485818948801,3.13138918105117,0.000109275462769065
"34","treatment:as.factor(date)","hot:2021-10-12-hot:2021-10-05",0,2.04343749999999,0.762985818948803,3.32388918105117,8.05725809605029e-06
"35","treatment:as.factor(date)","hot:2021-10-18-hot:2021-10-05",0,2.01270833333332,0.843821217488081,3.18159544917856,7.54359107624225e-07
"36","treatment:as.factor(date)","hot:2021-10-19-hot:2021-10-05",0,2.19987499999998,1.1285722625561,3.27117773744387,1.71191061326681e-10
"37","treatment","control-cold",0,10.7008108108107,10.3653710674609,11.0362505541606,0
"38","treatment","hot-cold",0,23.5866312741311,23.2519411177368,23.9213214305254,0
"39","treatment","hot-control",0,12.8858204633204,12.551130306926,13.2205106197147,0
"40","treatment:as.factor(date)","control:2021-10-05-cold:2021-10-05",0,8.20999999999989,6.92954831894871,9.49045168105108,0
"41","treatment:as.factor(date)","hot:2021-10-05-cold:2021-10-05",0,18.6837499999998,17.4032983189486,19.964201681051,0
"42","treatment:as.factor(date)","cold:2021-10-11-cold:2021-10-05",0,-3.92087500000003,-5.22249260555489,-2.61925739444517,0
"43","treatment:as.factor(date)","control:2021-10-11-cold:2021-10-05",0,7.69479166666653,6.39317406111167,8.99640927222139,0
"44","treatment:as.factor(date)","hot:2021-10-11-cold:2021-10-05",0,20.5346874999998,19.2542358189486,21.815139181051,0
"45","treatment:as.factor(date)","cold:2021-10-12-cold:2021-10-05",0,-3.57218750000005,-4.85263918105123,-2.29173581894886,0
"46","treatment:as.factor(date)","control:2021-10-12-cold:2021-10-05",0,7.05281249999987,5.77236081894869,8.33326418105106,0
"47","treatment:as.factor(date)","hot:2021-10-12-cold:2021-10-05",0,20.7271874999998,19.4467358189486,22.007639181051,0
"48","treatment:as.factor(date)","cold:2021-10-18-cold:2021-10-05",0,-3.47375000000004,-4.64263711584528,-2.3048628841548,0
"49","treatment:as.factor(date)","control:2021-10-18-cold:2021-10-05",0,7.48791666666655,6.31902955082131,8.65680378251179,0
"50","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-05",0,20.6964583333331,19.5275712174879,21.8653454491784,0
"51","treatment:as.factor(date)","cold:2021-10-19-cold:2021-10-05",0,-3.70112500000003,-4.77242773744392,-2.62982226255615,0
"52","treatment:as.factor(date)","control:2021-10-19-cold:2021-10-05",0,7.52674999999988,6.45544726255599,8.59805273744376,0
"53","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-05",0,20.8836249999998,19.8123222625559,21.9549277374437,0
"54","treatment:as.factor(date)","hot:2021-10-05-control:2021-10-05",0,10.4737499999999,9.19329831894873,11.7542016810511,0
"55","treatment:as.factor(date)","cold:2021-10-11-control:2021-10-05",0,-12.1308749999999,-13.4324926055548,-10.8292573944451,0
"56","treatment:as.factor(date)","hot:2021-10-11-control:2021-10-05",0,12.3246874999999,11.0442358189487,13.6051391810511,0
"57","treatment:as.factor(date)","cold:2021-10-12-control:2021-10-05",0,-11.7821874999999,-13.0626391810511,-10.5017358189488,0
"58","treatment:as.factor(date)","hot:2021-10-12-control:2021-10-05",0,12.5171874999999,11.2367358189487,13.7976391810511,0
"59","treatment:as.factor(date)","cold:2021-10-18-control:2021-10-05",0,-11.6837499999999,-12.8526371158452,-10.5148628841547,0
"60","treatment:as.factor(date)","hot:2021-10-18-control:2021-10-05",0,12.4864583333332,11.317571217488,13.6553454491785,0
"61","treatment:as.factor(date)","cold:2021-10-19-control:2021-10-05",0,-11.9111249999999,-12.9824277374438,-10.839822262556,0
"62","treatment:as.factor(date)","hot:2021-10-19-control:2021-10-05",0,12.6736249999999,11.602322262556,13.7449277374438,0
"63","treatment:as.factor(date)","cold:2021-10-11-hot:2021-10-05",0,-22.6046249999998,-23.9062426055547,-21.303007394445,0
"64","treatment:as.factor(date)","control:2021-10-11-hot:2021-10-05",0,-10.9889583333333,-12.2905759388881,-9.68734072777842,0
"65","treatment:as.factor(date)","cold:2021-10-12-hot:2021-10-05",0,-22.2559374999999,-23.536389181051,-20.9754858189487,0
