"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",27.4152656875704,0.514198589139075,53.3164934067048,18.9707199946942,3.92971651305128e-22
"2","fixed",NA,"poly(time_min_block, 2)1",7.39404338774002,1.00093879724649,7.38710839072328,421.041655305764,8.12599821112323e-13
"3","fixed",NA,"poly(time_min_block, 2)2",0.912457243203411,1.01295931517187,0.900783703290783,421.050085198079,0.368218265217643
"4","fixed",NA,"treatmentCooling",-3.80132123197036,0.72406340377075,-5.24998392706216,25.991816652452,1.74100725033941e-05
"5","fixed",NA,"treatmentHeating",-0.556664428219265,0.742024638859475,-0.750196690334815,27.1059437571442,0.459598997194145
"6","fixed",NA,"poly(time_min_block, 2)1:treatmentCooling",-108.019226453172,1.46747444560828,-73.6089318464402,421.361552900728,1.16087335854871e-242
"7","fixed",NA,"poly(time_min_block, 2)2:treatmentCooling",23.6993643465408,1.45169656948472,16.3252878354276,421.085567602357,9.02125816334695e-47
"8","fixed",NA,"poly(time_min_block, 2)1:treatmentHeating",103.286381201204,1.45441594896936,71.0157099654989,421.10341816856,1.7041013913449e-236
"9","fixed",NA,"poly(time_min_block, 2)2:treatmentHeating",-10.4063329285207,1.45571486571766,-7.14860662179912,421.065655542873,3.8983979335856e-12
"10","ran_pars","lizard_ID:date","sd__(Intercept)",1.68988898303593,NA,NA,NA,NA
"11","ran_pars","date","sd__(Intercept)",0.112403645504919,NA,NA,NA,NA
"12","ran_pars","Residual","sd__Observation",0.593911050169477,NA,NA,NA,NA
